GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-management-system,com.example.model,Book,192,3,38,0,4,1,31,1,12,1
book-management-system,com.example,BookManagementSystemApplication,5,3,0,0,2,1,1,1,1,1
book-management-system,com.example.controller,BookController,0,58,0,0,0,13,0,6,0,6
book-management-system,com.example.service,BookService,0,26,0,0,0,6,0,5,0,5
